Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region
AA-10315,Alex Avila,Consumer,Round Rock,Texas,United States,78664.0,US,Central
AA-10375,Allen Armold,Consumer,Santa Catarina,Nuevo León,Mexico,30318.0,LATAM,North
AA-10480,Andrew Allen,Consumer,Bangkok,Bangkok,Thailand,48234.0,APAC,Southeast Asia
AA-10645,Anna Andreadi,Consumer,Jakarta,Jakarta,Indonesia,94109.0,APAC,Southeast Asia
AA-315,Alex Avila,Consumer,Hrodna,Hrodna,Belarus,,EMEA,EMEA
AA-375,Allen Armold,Consumer,Livingstone,Southern,Zambia,,Africa,Africa
AA-480,Andrew Allen,Consumer,Toronto,Ontario,Canada,,Canada,Canada
AA-645,Anna Andreadi,Consumer,Algiers,Alger,Algeria,,Africa,Africa
AB-10015,Aaron Bergman,Consumer,Wuhan,Hubei,China,73120.0,APAC,North Asia
AB-10060,Adam Bellavance,Home Office,Seattle,Washington,United States,98105.0,US,West
AB-10105,Adrian Barton,Consumer,Detroit,Michigan,United States,48205.0,US,Central
AB-10150,Aimee Bixby,Consumer,London,England,United Kingdom,10701.0,EU,North
AB-10165,Alan Barnes,Consumer,Grenoble,Rhône-Alpes,France,90036.0,EU,Central
AB-10255,Alejandro Ballentine,Home Office,Hanoi,Th? Dô Hà N?i,Vietnam,88220.0,APAC,Southeast Asia
AB-105,Adrian Barton,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA
AB-10600,Ann Blume,Corporate,Tucson,Arizona,United States,85705.0,US,West
AB-15,Aaron Bergman,Consumer,Mufulira,Copperbelt,Zambia,,Africa,Africa
AB-150,Aimee Bixby,Consumer,Shiraz,Fars,Iran,,EMEA,EMEA
AB-165,Alan Barnes,Consumer,Hamilton,Ontario,Canada,,Canada,Canada
AB-255,Alejandro Ballentine,Home Office,Casablanca,Grand Casablanca,Morocco,,Africa,Africa
AB-60,Adam Bellavance,Home Office,Cape Town,Western Cape,South Africa,,Africa,Africa
AB-600,Ann Blume,Corporate,Bytom,Silesia,Poland,,EMEA,EMEA
AC-10420,Alyssa Crouse,Corporate,Kunming,Yunnan,China,94122.0,APAC,North Asia
AC-10450,Amy Cox,Consumer,Chennai,Tamil Nadu,India,70506.0,APAC,Central Asia
AC-10615,Ann Chong,Corporate,New York City,New York,United States,10009.0,US,East
AC-10660,Anna Chung,Consumer,Can Tho,T?nh C?n Th?,Vietnam,44134.0,APAC,Southeast Asia
AC-420,Alyssa Crouse,Corporate,Basra,Al Basrah,Iraq,,EMEA,EMEA
AC-450,Amy Cox,Consumer,Newcastle,Kwazulu-natal,South Africa,,Africa,Africa
AC-615,Ann Chong,Corporate,Nairobi,Nairobi,Kenya,,Africa,Africa
AC-660,Anna Chung,Consumer,Foumban,Ouest,Cameroon,,Africa,Africa
AD-10180,Alan Dominguez,Home Office,Jakarta,Jakarta,Indonesia,59405.0,APAC,Southeast Asia
AD-180,Alan Dominguez,Home Office,Elazig,Elazig,Turkey,,EMEA,EMEA
AF-10870,Art Ferguson,Consumer,Ghent,East Flanders,Belgium,7055.0,EU,Central
AF-10885,Art Foster,Consumer,Bayeux,Lower Normandy,France,19134.0,EU,Central
AF-870,Art Ferguson,Consumer,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA
AF-885,Art Foster,Consumer,Kinshasa,Kinshasa,Democratic Republic of the Congo,,Africa,Africa
AG-10270,Alejandro Grove,Consumer,Whangarei,Northland,New Zealand,68104.0,APAC,Oceania
AG-10300,Aleksandra Gannaway,Corporate,Auckland,Auckland,New Zealand,90049.0,APAC,Oceania
AG-10330,Alex Grayson,Consumer,Jambi,Jambi,Indonesia,85204.0,APAC,Southeast Asia
AG-10390,Allen Goldenen,Consumer,Wollongong,New South Wales,Australia,22204.0,APAC,Oceania
AG-10495,Andrew Gjertsen,Corporate,Xiangtan,Hunan,China,48234.0,APAC,North Asia
AG-10525,Andy Gerbode,Corporate,Irapuato,Guanajuato,Mexico,77095.0,LATAM,North
AG-10675,Anna Gayman,Consumer,Houston,Texas,United States,77036.0,US,Central
AG-10765,Anthony Garverick,Home Office,Mumbai,Maharashtra,India,23666.0,APAC,Central Asia
AG-10900,Arthur Gainer,Consumer,Mexico City,Distrito Federal,Mexico,85705.0,LATAM,North
AG-270,Alejandro Grove,Consumer,Prague,Prague,Czech Republic,,EMEA,EMEA
AG-300,Aleksandra Gannaway,Corporate,Lagos,Lagos,Nigeria,,Africa,Africa
